VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,01-03-2017 00:38,01-03-2017 00:59,1,10.5,1,N,231,42,1,30.5,0.5,0.5,6,0,0.3,37.8,,
1,01-03-2017 00:25,01-03-2017 00:31,1,1.4,1,N,239,262,1,7.5,0.5,0.5,1.75,0,0.3,10.55,,
1,01-03-2017 00:43,01-03-2017 00:44,1,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,,
1,01-03-2017 00:47,01-03-2017 00:47,1,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,,
1,01-03-2017 00:13,01-03-2017 00:13,1,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,,
1,01-03-2017 00:14,01-03-2017 00:14,1,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,,
1,01-03-2017 00:22,01-03-2017 00:22,1,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,,
1,01-03-2017 00:52,01-03-2017 00:56,1,0,1,N,145,145,2,4,0.5,0.5,0,0,0.3,5.3,,
1,01-03-2017 00:56,01-03-2017 00:56,1,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,,
1,01-03-2017 00:01,01-03-2017 00:03,1,0,1,N,82,82,3,3,0.5,0.5,0,0,0.3,4.3,,
1,01-03-2017 00:40,01-03-2017 00:49,1,1.9,1,N,95,28,1,8.5,0.5,0.5,1.96,0,0.3,11.76,,
1,01-03-2017 00:34,01-03-2017 01:02,1,6.9,1,N,48,223,1,25,0.5,0.5,5.25,0,0.3,31.55,,
1,01-03-2017 00:25,01-03-2017 00:28,1,0.3,1,N,90,68,2,3.5,0.5,0.5,0,0,0.3,4.8,,
1,01-03-2017 00:17,01-03-2017 00:32,1,4.2,1,N,142,79,1,15,0.5,0.5,2.2,0,0.3,18.5,,
1,01-03-2017 00:40,01-03-2017 00:44,1,1.1,1,N,170,162,1,5.5,0.5,0.5,1.35,0,0.3,8.15,,
1,01-03-2017 00:58,01-03-2017 01:10,2,7.7,1,N,239,169,2,22.5,0.5,0.5,0,0,0.3,23.8,,
1,01-03-2017 00:13,01-03-2017 00:25,1,2.2,1,N,107,48,1,11,0.5,0.5,2.45,0,0.3,14.75,,
1,01-03-2017 00:52,01-03-2017 01:11,1,6.6,1,N,229,231,1,21.5,0.5,0.5,5.7,0,0.3,28.5,,
2,01-03-2017 00:12,01-03-2017 00:21,1,1.61,1,N,239,163,2,8.5,0.5,0.5,0,0,0.3,9.8,,
2,01-03-2017 00:30,01-03-2017 00:34,1,0.57,1,N,162,230,1,5,0.5,0.5,1.89,0,0.3,8.19,,
1,01-03-2017 00:47,01-03-2017 00:58,1,6.1,1,N,138,74,1,18.5,0.5,0.5,4,5.54,0.3,29.34,,
2,01-03-2017 00:27,01-03-2017 00:55,1,17.36,2,N,132,162,1,52,0,0.5,0,0,0.3,52.8,,
2,01-03-2017 00:00,01-03-2017 00:25,1,14.9,1,N,132,226,1,41.5,0.5,0.5,7.2,0,0.3,50,,
1,01-03-2017 00:29,01-03-2017 00:31,1,0.5,1,N,65,97,1,4,0.5,0.5,0,0,0.3,5.3,,
1,01-03-2017 00:49,01-03-2017 01:09,2,4.6,1,N,4,142,1,17.5,0.5,0.5,3.75,0,0.3,22.55,,
2,01-03-2017 00:25,01-03-2017 00:39,2,4.98,1,N,166,169,2,16,0.5,0.5,0,0,0.3,17.3,,
1,01-03-2017 00:07,01-03-2017 00:43,1,19.2,2,N,132,249,1,52,0,0.5,5.83,5.54,0.3,64.17,,
1,01-03-2017 00:01,01-03-2017 00:07,1,1,1,N,146,7,1,6,0.5,0.5,1.45,0,0.3,8.75,,
1,01-03-2017 00:47,01-03-2017 00:58,1,2.7,1,N,161,249,1,11,0.5,0.5,2.45,0,0.3,14.75,,
1,01-03-2017 00:02,01-03-2017 00:10,1,2.6,1,N,75,162,1,9.5,0.5,0.5,2.15,0,0.3,12.95,,
1,01-03-2017 00:13,01-03-2017 00:17,1,1.2,1,N,162,186,2,5.5,0.5,0.5,0,0,0.3,6.8,,
1,01-03-2017 00:24,01-03-2017 00:30,1,0.8,1,N,186,234,1,6,0.5,0.5,1.8,0,0.3,9.1,,
1,01-03-2017 00:33,01-03-2017 00:41,1,1.4,1,N,234,144,1,7.5,0.5,0.5,1.75,0,0.3,10.55,,
1,01-03-2017 00:49,01-03-2017 00:52,1,0.2,1,N,144,144,2,3.5,0.5,0.5,0,0,0.3,4.8,,
1,01-03-2017 00:14,01-03-2017 00:19,1,0.9,1,N,226,7,1,5.5,0.5,0.5,1.35,0,0.3,8.15,,
1,01-03-2017 00:02,01-03-2017 00:07,1,1.4,1,N,68,246,1,7,0.5,0.5,1.65,0,0.3,9.95,,
1,01-03-2017 00:15,01-03-2017 00:27,1,6.9,1,N,264,119,2,20,0.5,0.5,0,0,0.3,21.3,,
2,01-03-2017 00:03,01-03-2017 00:22,2,4.72,1,N,236,237,1,18,0.5,0.5,5.79,0,0.3,25.09,,
2,01-03-2017 00:37,01-03-2017 00:40,1,0.47,1,N,142,142,1,4,0.5,0.5,1.06,0,0.3,6.36,,
2,01-03-2017 00:52,01-03-2017 01:10,1,8.1,1,N,238,220,1,24.5,0.5,0.5,5.16,0,0.3,30.96,,
1,01-03-2017 00:37,01-03-2017 00:54,1,4.3,1,N,141,260,2,15.5,0.5,0.5,0,0,0.3,16.8,,
2,01-03-2017 00:33,01-03-2017 00:48,1,7.22,1,N,148,129,1,21.5,0.5,0.5,2.5,0,0.3,25.3,,
2,01-03-2017 00:24,01-03-2017 00:57,1,19.28,2,N,132,158,1,52,0,0.5,5,5.54,0.3,63.34,,
1,01-03-2017 00:08,01-03-2017 00:39,1,12.1,1,N,161,89,1,37.5,0.5,0.5,7.75,0,0.3,46.55,,
2,01-03-2017 00:11,01-03-2017 00:52,1,13.21,1,N,41,62,2,41,0.5,0.5,0,0,0.3,42.3,,
1,01-03-2017 00:12,01-03-2017 00:21,1,2.7,1,N,232,97,1,10.5,0.5,0.5,1,0,0.3,12.8,,
1,01-03-2017 00:26,01-03-2017 00:38,1,2,1,N,97,61,2,10,0.5,0.5,0,0,0.3,11.3,,
1,01-03-2017 00:28,01-03-2017 00:33,1,0.8,1,N,237,237,1,5.5,0.5,0.5,1,0,0.3,7.8,,
1,01-03-2017 00:49,01-03-2017 00:57,1,2.2,1,N,237,170,1,8.5,0.5,0.5,2.9,0,0.3,12.7,,
1,01-03-2017 00:06,01-03-2017 00:17,1,2.3,1,N,170,249,2,10,0.5,0.5,0,0,0.3,11.3,,
1,01-03-2017 00:31,01-03-2017 00:42,1,1.8,1,N,158,48,1,9,0.5,0.5,2.05,0,0.3,12.35,,
1,01-03-2017 00:45,01-03-2017 00:54,3,0.6,1,N,230,230,3,5,0.5,0.5,0,0,0.3,6.3,,
2,01-03-2017 00:28,01-03-2017 00:43,1,6.75,1,N,231,233,1,20.5,0.5,0.5,4.36,0,0.3,26.16,,
2,01-03-2017 00:10,01-03-2017 00:22,1,5.35,1,N,233,261,1,16.5,0.5,0.5,3.56,0,0.3,21.36,,
1,01-03-2017 00:56,01-03-2017 01:07,1,2.9,1,N,230,238,1,11.5,0.5,0.5,2.55,0,0.3,15.35,,
1,01-03-2017 00:12,01-03-2017 00:18,1,0.8,1,N,97,106,1,6,0,0.5,1.35,0,0.3,8.15,,
1,01-03-2017 00:27,01-03-2017 00:31,1,0.6,1,N,189,181,1,4.5,0,0.5,1,0,0.3,6.3,,
1,01-03-2017 00:07,01-03-2017 00:09,2,0.9,1,N,236,236,1,5,0.5,0.5,1.25,0,0.3,7.55,,
2,01-03-2017 00:00,01-03-2017 00:05,1,2.02,1,N,166,244,1,8,0.5,0.5,2.79,0,0.3,12.09,,
2,01-03-2017 00:14,01-03-2017 00:19,1,0.7,1,N,236,262,2,5,0.5,0.5,0,0,0.3,6.3,,
2,01-03-2017 00:26,01-03-2017 00:39,1,5.72,1,N,236,247,1,17.5,0.5,0.5,3.76,0,0.3,22.56,,
2,01-03-2017 00:43,01-03-2017 00:57,1,2.59,1,N,230,224,1,12,0.5,0.5,3.99,0,0.3,17.29,,
1,01-03-2017 00:03,01-03-2017 00:13,1,1.7,1,N,116,42,2,9,0.5,0.5,0,0,0.3,10.3,,
1,01-03-2017 00:59,01-03-2017 00:59,2,0,2,N,141,141,1,52,0,0.5,14.55,5.54,0.3,72.89,,
2,01-03-2017 00:16,01-03-2017 00:51,1,13.62,1,N,138,62,2,40.5,0.5,0.5,0,0,0.3,41.8,,
1,01-03-2017 00:06,01-03-2017 00:11,1,0.9,1,N,162,233,1,5,0.5,0.5,1.25,0,0.3,7.55,,
2,01-03-2017 00:50,01-03-2017 00:57,1,1.37,1,N,100,137,2,6.5,0.5,0.5,0,0,0.3,7.8,,
2,01-03-2017 00:05,01-03-2017 00:12,2,1.92,1,N,230,68,1,8,0.5,0.5,1.86,0,0.3,11.16,,
2,01-03-2017 00:37,01-03-2017 00:43,2,1.24,1,N,232,79,2,6,0.5,0.5,0,0,0.3,7.3,,
2,01-03-2017 00:46,01-03-2017 01:05,3,5.98,1,N,4,7,2,19.5,0.5,0.5,0,0,0.3,20.8,,
1,01-03-2017 00:15,01-03-2017 00:37,1,7.2,1,N,231,166,1,22,0.5,0.5,6.95,0,0.3,30.25,,
1,01-03-2017 00:59,01-03-2017 01:27,1,7.4,1,N,24,148,2,25.5,0.5,0.5,0,0,0.3,26.8,,
1,01-03-2017 00:15,01-03-2017 00:19,1,0.8,1,N,161,163,1,5,0.5,0.5,1.25,0,0.3,7.55,,
1,01-03-2017 00:04,01-03-2017 00:08,1,0.9,1,N,48,100,1,5.5,0.5,0.5,1.35,0,0.3,8.15,,
1,01-03-2017 00:31,01-03-2017 00:56,1,5.3,1,N,48,179,1,21,0.5,0.5,4.45,0,0.3,26.75,,
2,01-03-2017 00:14,01-03-2017 00:20,2,1.74,1,N,142,151,1,7.5,0.5,0.5,1,0,0.3,9.8,,
2,01-03-2017 00:25,01-03-2017 00:34,1,2.65,1,N,238,42,1,10.5,0.5,0.5,3.54,0,0.3,15.34,,
1,01-03-2017 00:10,01-03-2017 00:14,1,0.6,1,N,142,163,1,4.5,0.5,0.5,1.15,0,0.3,6.95,,
1,01-03-2017 00:15,01-03-2017 00:27,1,5.8,1,N,146,232,2,17,0.5,0.5,0,0,0.3,18.3,,
1,01-03-2017 00:42,01-03-2017 01:00,2,4.8,1,N,13,50,2,17.5,0.5,0.5,0,0,0.3,18.8,,
1,01-03-2017 00:06,01-03-2017 00:28,2,5.9,1,N,249,17,1,21,0.5,0.5,4.45,0,0.3,26.75,,
1,01-03-2017 00:51,01-03-2017 01:00,1,1.8,1,N,211,107,1,8.5,0.5,0.5,1,0,0.3,10.8,,
1,01-03-2017 00:13,01-03-2017 00:28,1,4,1,N,48,231,1,13,0.5,0.5,2.85,0,0.3,17.15,,
1,01-03-2017 00:32,01-03-2017 00:53,1,5.7,1,N,231,112,1,19,0.5,0.5,4.05,0,0.3,24.35,,
1,01-03-2017 00:05,01-03-2017 00:13,2,1.8,1,N,151,142,1,8.5,0.5,0.5,1,0,0.3,10.8,,
1,01-03-2017 00:26,01-03-2017 00:26,1,0,3,N,132,132,2,20,0.5,0,0,0,0.3,20.8,,
1,01-03-2017 00:26,01-03-2017 00:57,1,18.5,2,N,132,230,2,52,0,0.5,0,6,0.3,58.8,,
1,01-03-2017 00:54,01-03-2017 01:25,1,21.1,2,N,132,238,2,52,0,0.5,0,5.54,0.3,58.34,,
1,01-03-2017 00:36,01-03-2017 00:54,1,2.6,1,N,164,232,1,13.5,0.5,0.5,2,0,0.3,16.8,,
1,01-03-2017 00:12,01-03-2017 00:14,1,0,1,N,170,137,2,3,0.5,0.5,0,0,0.3,4.3,,
1,01-03-2017 00:47,01-03-2017 00:57,1,1.2,1,N,234,107,2,8,0.5,0.5,0,0,0.3,9.3,,
1,01-03-2017 00:01,01-03-2017 00:04,1,0.8,1,N,186,48,2,5,0.5,0.5,0,0,0.3,6.3,,
1,01-03-2017 00:08,01-03-2017 00:14,1,0.8,1,N,230,68,1,6,0.5,0.5,1.8,0,0.3,9.1,,
1,01-03-2017 00:21,01-03-2017 00:27,1,1.1,1,N,230,50,1,6,0.5,0.5,2,0,0.3,9.3,,
1,01-03-2017 00:37,01-03-2017 00:48,1,2.3,1,N,48,140,2,10,0.5,0.5,0,0,0.3,11.3,,
2,01-03-2017 00:24,01-03-2017 00:33,1,2.12,1,N,166,116,1,9.5,0.5,0.5,5,0,0.3,15.8,,
1,01-03-2017 00:46,01-03-2017 00:52,2,1,1,N,100,50,2,6.5,0.5,0.5,0,0,0.3,7.8,,
1,01-03-2017 00:08,01-03-2017 00:37,1,7.2,1,N,230,66,1,26.5,0.5,0.5,6.95,0,0.3,34.75,,
2,01-03-2017 00:25,01-03-2017 00:31,1,0.86,1,N,186,170,2,5.5,0.5,0.5,0,0,0.3,6.8,,
2,01-03-2017 00:38,01-03-2017 00:52,1,4.7,1,N,68,151,1,16,0.5,0.5,3.46,0,0.3,20.76,,
